"db","group","conc_m3","min_d","max_d","mp","stationid"
"(0,40]","bv55c1",3.06719691946338,0,40,20,"gf"
"(0,40]","bv55c1",0,0,40,20,"gf"
"(0,40]","bv55c1",0,0,40,20,"gf"
"(1.1e+03,1.2e+03]","bv55c1",6.05517609926613,1100,1200,1150,"gf"
"(1.1e+03,1.2e+03]","bv55c1",0,1100,1200,1150,"gf"
"(1.1e+03,1.2e+03]","bv55c1",0,1100,1200,1150,"gf"
"(1.2e+03,1.3e+03]","bv55c1",4.19945983495492,1200,1300,1250,"gf"
"(1.2e+03,1.3e+03]","bv55c1",0,1200,1300,1250,"gf"
"(1.2e+03,1.3e+03]","bv55c1",0,1200,1300,1250,"gf"
"(120,160]","bv55c1",28.2827469809467,120,160,140,"gf"
"(120,160]","bv55c1",0,120,160,140,"gf"
"(120,160]","bv55c1",0,120,160,140,"gf"
"(160,200]","bv55c1",2.0821337223632,160,200,180,"gf"
"(160,200]","bv55c1",0,160,200,180,"gf"
"(160,200]","bv55c1",0,160,200,180,"gf"
"(1e+03,1.1e+03]","bv55c1",0,1000,1100,1050,"gf"
"(1e+03,1.1e+03]","bv55c1",0,1000,1100,1050,"gf"
"(1e+03,1.1e+03]","bv55c1",0,1000,1100,1050,"gf"
"(200,300]","bv55c1",0,200,300,250,"gf"
"(200,300]","bv55c1",0,200,300,250,"gf"
"(200,300]","bv55c1",0,200,300,250,"gf"
"(300,400]","bv55c1",0.585752717572566,300,400,350,"gf"
"(300,400]","bv55c1",0,300,400,350,"gf"
"(300,400]","bv55c1",0,300,400,350,"gf"
"(40,80]","bv55c1",6.82678444754353,40,80,60,"gf"
"(40,80]","bv55c1",0.361432557066209,40,80,60,"gf"
"(40,80]","bv55c1",0,40,80,60,"gf"
"(400,500]","bv55c1",1.8899926938561,400,500,450,"gf"
"(400,500]","bv55c1",0,400,500,450,"gf"
"(400,500]","bv55c1",0,400,500,450,"gf"
"(500,600]","bv55c1",0.205943357961921,500,600,550,"gf"
"(500,600]","bv55c1",0,500,600,550,"gf"
"(500,600]","bv55c1",0,500,600,550,"gf"
"(600,700]","bv55c1",1.57108607436871,600,700,650,"gf"
"(600,700]","bv55c1",0,600,700,650,"gf"
"(600,700]","bv55c1",0,600,700,650,"gf"
"(700,800]","bv55c1",0.617389834823426,700,800,750,"gf"
"(700,800]","bv55c1",1.0184017696341,700,800,750,"gf"
"(700,800]","bv55c1",0,700,800,750,"gf"
"(80,120]","bv55c1",9.2701594399499,80,120,100,"gf"
"(80,120]","bv55c1",0.534300191525874,80,120,100,"gf"
"(80,120]","bv55c1",0,80,120,100,"gf"
"(800,900]","bv55c1",0.266332193304206,800,900,850,"gf"
"(800,900]","bv55c1",0,800,900,850,"gf"
"(800,900]","bv55c1",0,800,900,850,"gf"
"(900,1e+03]","bv55c1",0,900,1000,950,"gf"
"(900,1e+03]","bv55c1",0,900,1000,950,"gf"
"(900,1e+03]","bv55c1",0,900,1000,950,"gf"
"(0,40]","bv55c11",0.708829884022102,0,40,20,"st3"
"(0,40]","bv55c11",9.10233143182808,0,40,20,"st3"
"(0,40]","bv55c11",2.01511615854417,0,40,20,"st3"
"(0,40]","bv55c11",0,0,40,20,"st3"
"(0,40]","bv55c11",0,0,40,20,"st3"
"(1.1e+03,1.2e+03]","bv55c11",5.79512619831881,1100,1200,1150,"st3"
"(1.1e+03,1.2e+03]","bv55c11",0.960978245886957,1100,1200,1150,"st3"
"(1.1e+03,1.2e+03]","bv55c11",0,1100,1200,1150,"st3"
"(1.1e+03,1.2e+03]","bv55c11",0,1100,1200,1150,"st3"
"(1.1e+03,1.2e+03]","bv55c11",0,1100,1200,1150,"st3"
"(1.2e+03,1.3e+03]","bv55c11",0,1200,1300,1250,"st3"
"(1.2e+03,1.3e+03]","bv55c11",0,1200,1300,1250,"st3"
"(1.2e+03,1.3e+03]","bv55c11",0,1200,1300,1250,"st3"
"(1.2e+03,1.3e+03]","bv55c11",0,1200,1300,1250,"st3"
"(1.2e+03,1.3e+03]","bv55c11",0,1200,1300,1250,"st3"
"(1.3e+03,1.4e+03]","bv55c11",0.210584540192924,1300,1400,1350,"st3"
"(1.3e+03,1.4e+03]","bv55c11",32.5252794408036,1300,1400,1350,"st3"
"(1.3e+03,1.4e+03]","bv55c11",0,1300,1400,1350,"st3"
"(1.3e+03,1.4e+03]","bv55c11",0,1300,1400,1350,"st3"
"(1.3e+03,1.4e+03]","bv55c11",0,1300,1400,1350,"st3"
"(1.4e+03,1.6e+03]","bv55c11",74.2168457966864,1400,1600,1500,"st3"
"(1.4e+03,1.6e+03]","bv55c11",0.977357953734179,1400,1600,1500,"st3"
"(1.4e+03,1.6e+03]","bv55c11",0,1400,1600,1500,"st3"
"(1.4e+03,1.6e+03]","bv55c11",0,1400,1600,1500,"st3"
"(1.4e+03,1.6e+03]","bv55c11",0,1400,1600,1500,"st3"
"(1.6e+03,1.8e+03]","bv55c11",1.15135077980066,1600,1800,1700,"st3"
"(1.6e+03,1.8e+03]","bv55c11",0,1600,1800,1700,"st3"
"(1.6e+03,1.8e+03]","bv55c11",0,1600,1800,1700,"st3"
"(1.6e+03,1.8e+03]","bv55c11",0,1600,1800,1700,"st3"
"(1.6e+03,1.8e+03]","bv55c11",0,1600,1800,1700,"st3"
"(1.8e+03,2e+03]","bv55c11",23.798738663079,1800,2000,1900,"st3"
"(1.8e+03,2e+03]","bv55c11",0,1800,2000,1900,"st3"
"(1.8e+03,2e+03]","bv55c11",0,1800,2000,1900,"st3"
"(1.8e+03,2e+03]","bv55c11",0,1800,2000,1900,"st3"
"(1.8e+03,2e+03]","bv55c11",0,1800,2000,1900,"st3"
"(120,160]","bv55c11",0,120,160,140,"st3"
"(120,160]","bv55c11",0,120,160,140,"st3"
"(120,160]","bv55c11",0,120,160,140,"st3"
"(120,160]","bv55c11",0,120,160,140,"st3"
"(120,160]","bv55c11",0,120,160,140,"st3"
"(160,200]","bv55c11",0,160,200,180,"st3"
"(160,200]","bv55c11",0,160,200,180,"st3"
"(160,200]","bv55c11",0,160,200,180,"st3"
"(160,200]","bv55c11",0,160,200,180,"st3"
"(160,200]","bv55c11",0,160,200,180,"st3"
"(1e+03,1.1e+03]","bv55c11",5.86159466272563,1000,1100,1050,"st3"
"(1e+03,1.1e+03]","bv55c11",0,1000,1100,1050,"st3"
"(1e+03,1.1e+03]","bv55c11",0,1000,1100,1050,"st3"
"(1e+03,1.1e+03]","bv55c11",0,1000,1100,1050,"st3"
"(1e+03,1.1e+03]","bv55c11",0,1000,1100,1050,"st3"
"(2.2e+03,2.4e+03]","bv55c11",0.517021847976724,2200,2400,2300,"st3"
"(2.2e+03,2.4e+03]","bv55c11",0,2200,2400,2300,"st3"
"(2.2e+03,2.4e+03]","bv55c11",0,2200,2400,2300,"st3"
"(2.2e+03,2.4e+03]","bv55c11",0,2200,2400,2300,"st3"
"(2.2e+03,2.4e+03]","bv55c11",0,2200,2400,2300,"st3"
"(2.4e+03,2.6e+03]","bv55c11",0.740929715341596,2400,2600,2500,"st3"
"(2.4e+03,2.6e+03]","bv55c11",0,2400,2600,2500,"st3"
"(2.4e+03,2.6e+03]","bv55c11",0,2400,2600,2500,"st3"
"(2.4e+03,2.6e+03]","bv55c11",0,2400,2600,2500,"st3"
"(2.4e+03,2.6e+03]","bv55c11",0,2400,2600,2500,"st3"
"(2.6e+03,2.8e+03]","bv55c11",0.268068290216301,2600,2800,2700,"st3"
"(2.6e+03,2.8e+03]","bv55c11",0,2600,2800,2700,"st3"
"(2.6e+03,2.8e+03]","bv55c11",0,2600,2800,2700,"st3"
"(2.6e+03,2.8e+03]","bv55c11",0,2600,2800,2700,"st3"
"(2.6e+03,2.8e+03]","bv55c11",0,2600,2800,2700,"st3"
"(2.8e+03,3e+03]","bv55c11",4.30970317037331,2800,3000,2900,"st3"
"(2.8e+03,3e+03]","bv55c11",0,2800,3000,2900,"st3"
"(2.8e+03,3e+03]","bv55c11",0,2800,3000,2900,"st3"
"(2.8e+03,3e+03]","bv55c11",0,2800,3000,2900,"st3"
"(2.8e+03,3e+03]","bv55c11",0,2800,3000,2900,"st3"
"(200,300]","bv55c11",6.10071583278081,200,300,250,"st3"
"(200,300]","bv55c11",0,200,300,250,"st3"
"(200,300]","bv55c11",0,200,300,250,"st3"
"(200,300]","bv55c11",0,200,300,250,"st3"
"(200,300]","bv55c11",0,200,300,250,"st3"
"(2e+03,2.2e+03]","bv55c11",0.574263292044799,2000,2200,2100,"st3"
"(2e+03,2.2e+03]","bv55c11",0,2000,2200,2100,"st3"
"(2e+03,2.2e+03]","bv55c11",0,2000,2200,2100,"st3"
"(2e+03,2.2e+03]","bv55c11",0,2000,2200,2100,"st3"
"(2e+03,2.2e+03]","bv55c11",0,2000,2200,2100,"st3"
"(3.2e+03,3.4e+03]","bv55c11",0,3200,3400,3300,"st3"
"(3.2e+03,3.4e+03]","bv55c11",0,3200,3400,3300,"st3"
"(3.2e+03,3.4e+03]","bv55c11",0,3200,3400,3300,"st3"
"(3.2e+03,3.4e+03]","bv55c11",0,3200,3400,3300,"st3"
"(3.2e+03,3.4e+03]","bv55c11",0,3200,3400,3300,"st3"
"(3.4e+03,3.6e+03]","bv55c11",0.335749019694582,3400,3600,3500,"st3"
"(3.4e+03,3.6e+03]","bv55c11",0.839563879978753,3400,3600,3500,"st3"
"(3.4e+03,3.6e+03]","bv55c11",0,3400,3600,3500,"st3"
"(3.4e+03,3.6e+03]","bv55c11",0,3400,3600,3500,"st3"
"(3.4e+03,3.6e+03]","bv55c11",0,3400,3600,3500,"st3"
"(3.6e+03,3.8e+03]","bv55c11",0,3600,3800,3700,"st3"
"(3.6e+03,3.8e+03]","bv55c11",0,3600,3800,3700,"st3"
"(3.6e+03,3.8e+03]","bv55c11",0,3600,3800,3700,"st3"
