"db","group","conc_m3","min_d","max_d","mp","stationid"
"(0,40]","bv55c1",0.627391931739758,0,40,20,"gf"
"(0,40]","bv55c1",0,0,40,20,"gf"
"(0,40]","bv55c1",0,0,40,20,"gf"
"(1.1e+03,1.2e+03]","bv55c1",0.443026758816232,1100,1200,1150,"gf"
"(1.1e+03,1.2e+03]","bv55c1",0,1100,1200,1150,"gf"
"(1.1e+03,1.2e+03]","bv55c1",0,1100,1200,1150,"gf"
"(1.2e+03,1.3e+03]","bv55c1",1.3986013986014,1200,1300,1250,"gf"
"(1.2e+03,1.3e+03]","bv55c1",0,1200,1300,1250,"gf"
"(1.2e+03,1.3e+03]","bv55c1",0,1200,1300,1250,"gf"
"(120,160]","bv55c1",1.34879956838414,120,160,140,"gf"
"(120,160]","bv55c1",0,120,160,140,"gf"
"(120,160]","bv55c1",0,120,160,140,"gf"
"(160,200]","bv55c1",1.30429111777749,160,200,180,"gf"
"(160,200]","bv55c1",0,160,200,180,"gf"
"(160,200]","bv55c1",0,160,200,180,"gf"
"(1e+03,1.1e+03]","bv55c1",0,1000,1100,1050,"gf"
"(1e+03,1.1e+03]","bv55c1",0,1000,1100,1050,"gf"
"(1e+03,1.1e+03]","bv55c1",0,1000,1100,1050,"gf"
"(200,300]","bv55c1",0,200,300,250,"gf"
"(200,300]","bv55c1",0,200,300,250,"gf"
"(200,300]","bv55c1",0,200,300,250,"gf"
"(300,400]","bv55c1",0.878773232567336,300,400,350,"gf"
"(300,400]","bv55c1",0,300,400,350,"gf"
"(300,400]","bv55c1",0,300,400,350,"gf"
"(40,80]","bv55c1",1.44875045273452,40,80,60,"gf"
"(40,80]","bv55c1",0.724375226367258,40,80,60,"gf"
"(40,80]","bv55c1",0,40,80,60,"gf"
"(400,500]","bv55c1",0.856017805170348,400,500,450,"gf"
"(400,500]","bv55c1",0,400,500,450,"gf"
"(400,500]","bv55c1",0,400,500,450,"gf"
"(500,600]","bv55c1",0.434348260435217,500,600,550,"gf"
"(500,600]","bv55c1",0,500,600,550,"gf"
"(500,600]","bv55c1",0,500,600,550,"gf"
"(600,700]","bv55c1",0.447828034034931,600,700,650,"gf"
"(600,700]","bv55c1",0,600,700,650,"gf"
"(600,700]","bv55c1",0,600,700,650,"gf"
"(700,800]","bv55c1",0.476962701516741,700,800,750,"gf"
"(700,800]","bv55c1",0.953925403033483,700,800,750,"gf"
"(700,800]","bv55c1",0,700,800,750,"gf"
"(80,120]","bv55c1",0.693433187712364,80,120,100,"gf"
"(80,120]","bv55c1",0.693433187712364,80,120,100,"gf"
"(80,120]","bv55c1",0,80,120,100,"gf"
"(800,900]","bv55c1",0.454091363182272,800,900,850,"gf"
"(800,900]","bv55c1",0,800,900,850,"gf"
"(800,900]","bv55c1",0,800,900,850,"gf"
"(900,1e+03]","bv55c1",0,900,1000,950,"gf"
"(900,1e+03]","bv55c1",0,900,1000,950,"gf"
"(900,1e+03]","bv55c1",0,900,1000,950,"gf"
"(0,40]","bv55c11",0.610948191593353,0,40,20,"st3"
"(0,40]","bv55c11",5.49853372434018,0,40,20,"st3"
"(0,40]","bv55c11",2.44379276637341,0,40,20,"st3"
"(0,40]","bv55c11",0,0,40,20,"st3"
"(0,40]","bv55c11",0,0,40,20,"st3"
"(1.1e+03,1.2e+03]","bv55c11",0.450714382295939,1100,1200,1150,"st3"
"(1.1e+03,1.2e+03]","bv55c11",0.450714382295939,1100,1200,1150,"st3"
"(1.1e+03,1.2e+03]","bv55c11",0,1100,1200,1150,"st3"
"(1.1e+03,1.2e+03]","bv55c11",0,1100,1200,1150,"st3"
"(1.1e+03,1.2e+03]","bv55c11",0,1100,1200,1150,"st3"
"(1.2e+03,1.3e+03]","bv55c11",0,1200,1300,1250,"st3"
"(1.2e+03,1.3e+03]","bv55c11",0,1200,1300,1250,"st3"
"(1.2e+03,1.3e+03]","bv55c11",0,1200,1300,1250,"st3"
"(1.2e+03,1.3e+03]","bv55c11",0,1200,1300,1250,"st3"
"(1.2e+03,1.3e+03]","bv55c11",0,1200,1300,1250,"st3"
"(1.3e+03,1.4e+03]","bv55c11",0.448933782267116,1300,1400,1350,"st3"
"(1.3e+03,1.4e+03]","bv55c11",2.69360269360269,1300,1400,1350,"st3"
"(1.3e+03,1.4e+03]","bv55c11",0,1300,1400,1350,"st3"
"(1.3e+03,1.4e+03]","bv55c11",0,1300,1400,1350,"st3"
"(1.3e+03,1.4e+03]","bv55c11",0,1300,1400,1350,"st3"
"(1.4e+03,1.6e+03]","bv55c11",1.8037518037518,1400,1600,1500,"st3"
"(1.4e+03,1.6e+03]","bv55c11",0.225468975468975,1400,1600,1500,"st3"
"(1.4e+03,1.6e+03]","bv55c11",0,1400,1600,1500,"st3"
"(1.4e+03,1.6e+03]","bv55c11",0,1400,1600,1500,"st3"
"(1.4e+03,1.6e+03]","bv55c11",0,1400,1600,1500,"st3"
"(1.6e+03,1.8e+03]","bv55c11",0.45004500450045,1600,1800,1700,"st3"
"(1.6e+03,1.8e+03]","bv55c11",0,1600,1800,1700,"st3"
"(1.6e+03,1.8e+03]","bv55c11",0,1600,1800,1700,"st3"
